(150, 250)
(250, 150)
(150, 50)
(50, 150)
(151, 250)
(151, 50)
(149, 50)
(149, 250)
(152, 250)
(152, 50)
(148, 50)
(148, 250)
(153, 250)
(153, 50)
(147, 50)
(147, 250)
(154, 250)
(154, 50)
(146, 50)
(146, 250)
(155, 250)
(155, 50)
(145, 50)
(145, 250)
(156, 250)
(156, 50)
(144, 50)
(144, 250)
(157, 250)
(157, 50)
(143, 50)
(143, 250)
(158, 250)
(158, 50)
(142, 50)
(142, 250)
(159, 250)
(159, 50)
(141, 50)
(141, 250)
(160, 249)
(160, 51)
(140, 51)
(140, 249)
(161, 249)
(161, 51)
(139, 51)
(139, 249)
(162, 249)
(162, 51)
(138, 51)
(138, 249)
(163, 249)
(163, 51)
(137, 51)
(137, 249)
(164, 249)
(164, 51)
(136, 51)
(136, 249)
(165, 249)
(165, 51)
(135, 51)
(135, 249)
(166, 249)
(166, 51)
(134, 51)
(134, 249)
(167, 249)
(167, 51)
(133, 51)
(133, 249)
(168, 248)
(168, 52)
(132, 52)
(132, 248)
(169, 248)
(169, 52)
(131, 52)
(131, 248)
(170, 248)
(170, 52)
(130, 52)
(130, 248)
(171, 248)
(171, 52)
(129, 52)
(129, 248)
(172, 248)
(172, 52)
(128, 52)
(128, 248)
(173, 247)
(173, 53)
(127, 53)
(127, 247)
(174, 247)
(174, 53)
(126, 53)
(126, 247)
(175, 247)
(175, 53)
(125, 53)
(125, 247)
(176, 247)
(176, 53)
(124, 53)
(124, 247)
(177, 246)
(177, 54)
(123, 54)
(123, 246)
(178, 246)
(178, 54)
(122, 54)
(122, 246)
(179, 246)
(179, 54)
(121, 54)
(121, 246)
(180, 245)
(180, 55)
(120, 55)
(120, 245)
(181, 245)
(181, 55)
(119, 55)
(119, 245)
(182, 245)
(182, 55)
(118, 55)
(118, 245)
(183, 244)
(183, 56)
(117, 56)
(117, 244)
(184, 244)
(184, 56)
(116, 56)
(116, 244)
(185, 244)
(185, 56)
(115, 56)
(115, 244)
(186, 243)
(186, 57)
(114, 57)
(114, 243)
(187, 243)
(187, 57)
(113, 57)
(113, 243)
(188, 242)
(188, 58)
(112, 58)
(112, 242)
(189, 242)
(189, 58)
(111, 58)
(111, 242)
(190, 242)
(190, 58)
(110, 58)
(110, 242)
(191, 241)
(191, 59)
(109, 59)
(109, 241)
(192, 241)
(192, 59)
(108, 59)
(108, 241)
(193, 240)
(193, 60)
(107, 60)
(107, 240)
(194, 240)
(194, 60)
(106, 60)
(106, 240)
(195, 239)
(195, 61)
(105, 61)
(105, 239)
(196, 239)
(196, 61)
(104, 61)
(104, 239)
(197, 238)
(197, 62)
(103, 62)
(103, 238)
(198, 238)
(198, 62)
(102, 62)
(102, 238)
(199, 237)
(199, 63)
(101, 63)
(101, 237)
(200, 237)
(200, 63)
(100, 63)
(100, 237)
(201, 236)
(201, 64)
(99, 64)
(99, 236)
(202, 235)
(202, 65)
(98, 65)
(98, 235)
(203, 235)
(203, 65)
(97, 65)
(97, 235)
(204, 234)
(204, 66)
(96, 66)
(96, 234)
(205, 234)
(205, 66)
(95, 66)
(95, 234)
(206, 233)
(206, 67)
(94, 67)
(94, 233)
(207, 232)
(207, 68)
(93, 68)
(93, 232)
(208, 231)
(208, 69)
(92, 69)
(92, 231)
(209, 231)
(209, 69)
(91, 69)
(91, 231)
(210, 230)
(210, 70)
(90, 70)
(90, 230)
(211, 229)
(211, 71)
(89, 71)
(89, 229)
(212, 228)
(212, 72)
(88, 72)
(88, 228)
(213, 228)
(213, 72)
(87, 72)
(87, 228)
(214, 227)
(214, 73)
(86, 73)
(86, 227)
(215, 226)
(215, 74)
(85, 74)
(85, 226)
(216, 225)
(216, 75)
(84, 75)
(84, 225)
(217, 224)
(217, 76)
(83, 76)
(83, 224)
(218, 223)
(218, 77)
(82, 77)
(82, 223)
(219, 222)
(219, 78)
(81, 78)
(81, 222)
(220, 221)
(220, 79)
(80, 79)
(80, 221)
(221, 220)
(221, 80)
(79, 80)
(79, 220)
(222, 219)
(222, 81)
(78, 81)
(78, 219)
(223, 218)
(223, 82)
(77, 82)
(77, 218)
(224, 217)
(224, 83)
(76, 83)
(76, 217)
(225, 216)
(225, 84)
(75, 84)
(75, 216)
(226, 215)
(226, 85)
(74, 85)
(74, 215)
(227, 214)
(227, 86)
(73, 86)
